infostate,action,probability
"cards:5,?|decl:13",1,0.5
"cards:20,?|decl:14",0,0.5
"cards:20,?|decl:14",1,0.5
"cards:5,?|decl:15",0,0.5
"cards:5,?|decl:15",1,0.5
"cards:20,?|decl:16",0,0.5
"cards:20,?|decl:16",1,0.5
"cards:5,?|decl:17",0,0.5
"cards:5,?|decl:17",1,0.5
"cards:20,?|decl:18",0,0.5
"cards:20,?|decl:18",1,0.5
"cards:5,?|decl:19",0,0.5
"cards:5,?|decl:19",1,0.5
"cards:20,?|decl:20",0,0.5
"cards:20,?|decl:20",1,0.5
"cards:5,?|decl:21",0,0.5
"cards:5,?|decl:21",1,0.5
"cards:20,?|decl:22",0,0.5
"cards:20,?|decl:22",1,0.5
"cards:5,?|decl:23",0,0.5
"cards:5,?|decl:23",1,0.5
"cards:20,?|decl:24",0,0.5
"cards:20,?|decl:24",1,0.5
"cards:5,?|decl:25",0,0.5
"cards:5,?|decl:25",1,0.5
"cards:20,?|decl:26",0,0.5
"cards:20,?|decl:26",1,0.5
"cards:5,?|decl:27",0,0.5
"cards:5,?|decl:27",1,0.5
"cards:20,?|decl:28",0,0.5
"cards:20,?|decl:28",1,0.5
"cards:5,?|decl:29",0,0.5
"cards:5,?|decl:29",1,0.5
"cards:20,?|decl:30",0,0.5
"cards:20,?|decl:30",1,0.5
"cards:5,?|decl:31",0,0.5
"cards:5,?|decl:31",1,0.5
"cards:20,?|decl:32",0,0.5
"cards:20,?|decl:32",1,0.5
"cards:5,?|decl:33",0,0.5
"cards:5,?|decl:33",1,0.5
"cards:20,?|decl:34",0,0.5
"cards:20,?|decl:34",1,0.5
"cards:5,?|decl:35",0,0.5
"cards:5,?|decl:35",1,0.5
"cards:20,?|decl:36",0,0.5
"cards:20,?|decl:36",1,0.5
"cards:5,?|decl:37",0,0.5
"cards:5,?|decl:37",1,0.5
"cards:20,?|decl:38",0,0.5
"cards:20,?|decl:38",1,0.5
"cards:5,?|decl:39",0,0.5
"cards:5,?|decl:39",1,0.5
"cards:20,?|decl:40",0,0.5
"cards:20,?|decl:40",1,0.5
"cards:5,?|decl:41",0,0.5
"cards:5,?|decl:41",1,0.5
"cards:20,?|decl:42",0,0.5
"cards:20,?|decl:42",1,0.5
"cards:5,?|decl:43",0,0.5
"cards:5,?|decl:43",1,0.5
"cards:20,?|decl:44",0,0.5
"cards:20,?|decl:44",1,0.5
"cards:5,?|decl:45",0,0.5
"cards:5,?|decl:45",1,0.5
"cards:20,?|decl:46",0,0.5
"cards:20,?|decl:46",1,0.5
"cards:5,?|decl:47",0,0.5
"cards:5,?|decl:47",1,0.5
"cards:20,?|decl:48",0,0.5
"cards:20,?|decl:48",1,0.5
"cards:5,?|decl:49",0,0.5
"cards:5,?|decl:49",1,0.5
"cards:20,?|decl:50",0,0.5
"cards:20,?|decl:50",1,0.5
"cards:5,?|decl:51",0,0.5
"cards:5,?|decl:51",1,0.5
"cards:20,?|decl:52",0,0.5
"cards:20,?|decl:52",1,0.5
"cards:5,?|decl:53",0,0.5
"cards:5,?|decl:53",1,0.5
"cards:20,?|decl:54",0,0.5
"cards:20,?|decl:54",1,0.5
"cards:5,?|decl:55",0,0.5
"cards:5,?|decl:55",1,0.5
"cards:20,?|decl:56",0,0.5
"cards:20,?|decl:56",1,0.5
"cards:5,?|decl:57",0,0.5
"cards:5,?|decl:57",1,0.5
"cards:20,?|decl:58",0,0.5
"cards:20,?|decl:58",1,0.5
"cards:5,?|decl:59",0,0.5
"cards:5,?|decl:59",1,0.5
"cards:20,?|decl:60",0,0.5
"cards:20,?|decl:60",1,0.5
"cards:5,?|decl:61",0,0.5
"cards:5,?|decl:61",1,0.5
"cards:20,?|decl:62",0,0.5
"cards:20,?|decl:62",1,0.5
"cards:5,?|decl:63",0,0.5
"cards:5,?|decl:63",1,0.5
"cards:20,?|decl:64",0,0.5
"cards:20,?|decl:64",1,0.5
"cards:5,?|decl:65",0,0.5
"cards:5,?|decl:65",1,0.5
"cards:20,?|decl:66",0,0.5
"cards:20,?|decl:66",1,0.5
"cards:5,?|decl:67",0,0.5
"cards:5,?|decl:67",1,0.5
"cards:20,?|decl:68",0,0.5
"cards:20,?|decl:68",1,0.5
"cards:5,?|decl:69",0,0.5
"cards:5,?|decl:69",1,0.5
"cards:20,?|decl:70",0,0.5
"cards:20,?|decl:70",1,0.5
"cards:5,?|decl:71",0,0.5
"cards:5,?|decl:71",1,0.5
"cards:20,?|decl:72",0,0.5
"cards:20,?|decl:72",1,0.5
"cards:5,?|decl:73",0,0.5
"cards:5,?|decl:73",1,0.5
"cards:20,?|decl:74",0,0.5
"cards:20,?|decl:74",1,0.5
"cards:5,?|decl:75",0,0.5
"cards:5,?|decl:75",1,0.5
"cards:20,?|decl:76",0,0.5
"cards:20,?|decl:76",1,0.5
"cards:5,?|decl:77",0,0.5
"cards:5,?|decl:77",1,0.5
"cards:20,?|decl:78",0,0.5
"cards:20,?|decl:78",1,0.5
"cards:5,?|decl:79",0,0.5
"cards:5,?|decl:79",1,0.5
"cards:20,?|decl:80",0,0.5
"cards:20,?|decl:80",1,0.5
"cards:5,?|decl:81",0,0.5
"cards:5,?|decl:81",1,0.5
"cards:20,?|decl:82",0,0.5
"cards:20,?|decl:82",1,0.5
"cards:5,?|decl:83",0,0.5
"cards:5,?|decl:83",1,0.5
"cards:20,?|decl:84",0,0.5
"cards:20,?|decl:84",1,0.5
"cards:5,?|decl:85",0,0.5
"cards:5,?|decl:85",1,0.5
"cards:20,?|decl:86",0,0.5
"cards:20,?|decl:86",1,0.5
"cards:5,?|decl:87",0,0.5
"cards:5,?|decl:87",1,0.5
"cards:20,?|decl:88",0,0.5
"cards:20,?|decl:88",1,0.5
"cards:5,?|decl:89",0,0.5
"cards:5,?|decl:89",1,0.5
"cards:20,?|decl:90",0,0.5
"cards:20,?|decl:90",1,0.5
"cards:5,?|decl:91",0,0.5
"cards:5,?|decl:91",1,0.5
"cards:20,?|decl:92",0,0.5
"cards:20,?|decl:92",1,0.5
"cards:5,?|decl:93",0,0.5
"cards:5,?|decl:93",1,0.5
"cards:20,?|decl:94",0,0.5
"cards:20,?|decl:94",1,0.5
"cards:5,?|decl:95",0,0.5
"cards:5,?|decl:95",1,0.5
"cards:20,?|decl:96",0,0.5
"cards:20,?|decl:96",1,0.5
"cards:5,?|decl:97",0,0.5
"cards:5,?|decl:97",1,0.5
"cards:20,?|decl:98",0,0.5
"cards:20,?|decl:98",1,0.5
"cards:5,?|decl:99",0,0.5
"cards:5,?|decl:99",1,0.5
"cards:20,?|decl:100",0,0.5
"cards:20,?|decl:100",1,0.5
"cards:5,?|decl:101",0,0.5
"cards:5,?|decl:101",1,0.5
"cards:20,?|decl:102",0,0.5
"cards:20,?|decl:102",1,0.5
"cards:5,?|decl:103",0,0.5
"cards:5,?|decl:103",1,0.5
"cards:20,?|decl:104",0,0.5
"cards:20,?|decl:104",1,0.5
"cards:5,?|decl:105",0,0.5
"cards:5,?|decl:105",1,0.5
"cards:20,?|decl:106",0,0.5
"cards:20,?|decl:106",1,0.5
